"","rejection_frequency","Inference","G"
"1",0.245,"CRV1",6
"2",0.188,"CRV3",6
"3",0.191,"bootstrap-C",6
"4",0.175,"bootstrap-S",6
"5",0.163,"bootstrap-V",6
"6",0.132,"CRV1",12
"7",0.118,"CRV3",12
"8",0.029,"bootstrap-C",12
"9",0.033,"bootstrap-S",12
"10",0.043,"bootstrap-V",12
"11",0.059,"CRV1",18
"12",0.065,"CRV3",18
"13",0.049,"bootstrap-C",18
"14",0.046,"bootstrap-S",18
"15",0.1,"bootstrap-V",18
"16",0.071,"CRV1",24
"17",0.068,"CRV3",24
"18",0.075,"bootstrap-C",24
"19",0.076,"bootstrap-S",24
"20",0.047,"bootstrap-V",24
"21",0.052,"CRV1",30
"22",0.06,"CRV3",30
"23",0.05,"bootstrap-C",30
"24",0.059,"bootstrap-S",30
"25",0.063,"bootstrap-V",30
"26",0.076,"CRV1",36
"27",0.047,"CRV3",36
"28",0.05,"bootstrap-C",36
"29",0.018,"bootstrap-S",36
"30",0.037,"bootstrap-V",36
"31",0.041,"CRV1",42
"32",0.056,"CRV3",42
"33",0.062,"bootstrap-C",42
"34",0.043,"bootstrap-S",42
"35",0.043,"bootstrap-V",42
